# 'RoadGravel_0_0.h5', 'Cement_0_0.h5', 'RoughGravel_0_0.h5', 'Asphalt_0_0.h5', 'Grass_0_0.h5', 'Puddle_0_0.h5', 'AsphaltWet_0_0.h5'
3.864150943396226268e+01,3.353271028037383417e+01,4.062857142857142634e+01,5.049541284403670005e+01,4.005504587155963492e+01,3.969811320754716633e+01,4.390384615384615330e+01
3.884905660377358316e+01,3.398130841121495394e+01,4.158095238095238244e+01,5.154128440366972796e+01,4.069724770642201861e+01,3.996226415094339757e+01,4.455769230769230660e+01
3.932075471698113489e+01,3.405607476635513819e+01,4.230476190476190368e+01,5.267889908256880460e+01,4.157798165137614887e+01,4.009433962264150608e+01,4.526923076923076650e+01
3.973584905660377586e+01,3.426168224299065201e+01,4.352380952380952550e+01,5.363302752293577669e+01,4.244036697247706513e+01,4.026415094339622414e+01,4.573076923076923350e+01
4.052830188679245538e+01,3.437383177570093551e+01,4.422857142857142776e+01,5.502752293577981391e+01,4.344954128440367214e+01,4.026415094339622414e+01,4.638461538461538680e+01
4.088679245283018560e+01,3.457943925233644933e+01,4.546666666666666856e+01,5.583486238532110235e+01,4.449541284403670005e+01,4.037735849056603854e+01,4.698076923076923350e+01
4.132075471698113489e+01,3.484112149532710134e+01,4.657142857142856940e+01,5.680733944954128134e+01,4.535779816513761631e+01,4.037735849056603854e+01,4.736538461538461320e+01
4.209433962264150608e+01,3.497196261682243090e+01,4.784761904761904816e+01,5.809174311926605583e+01,4.636697247706422331e+01,4.037735849056603854e+01,4.769230769230769340e+01
4.233962264150943611e+01,3.547663551401868887e+01,4.870476190476190226e+01,5.904587155963302791e+01,4.772477064220183252e+01,4.043396226415094219e+01,4.800000000000000000e+01
4.260377358490566024e+01,3.564485981308411056e+01,5.003809523809523796e+01,6.022018348623853257e+01,4.856880733944954187e+01,4.043396226415094219e+01,4.857692307692308020e+01
4.305660377358490365e+01,3.581308411214953225e+01,5.121904761904762182e+01,6.132110091743119540e+01,4.981651376146788834e+01,4.043396226415094219e+01,4.890384615384615330e+01
