# 'cement_0_15.h5', 'water_0_15.h5', 'Asphaltwet_0_15.h5', 'Asphalt_0_15.h5', 'Roughgravel_0_15.h5', 'grass_0_15.h5', 'roadgravel_0_15.h5'
4.103846153846154010e+01,4.522641509433962170e+01,4.447619047619047450e+01,3.813084112149532956e+01,3.916190476190476488e+01,3.842990654205607370e+01,4.489523809523809206e+01
4.217307692307691980e+01,4.581132075471698073e+01,4.548571428571428754e+01,3.871028037383177889e+01,4.007619047619047592e+01,3.949532710280373493e+01,4.577142857142857224e+01
4.290384615384615330e+01,4.652830188679245538e+01,4.655238095238095042e+01,3.975700934579439405e+01,4.108571428571428896e+01,4.018691588785046775e+01,4.685714285714285410e+01
4.405769230769230660e+01,4.675471698113207708e+01,4.758095238095238244e+01,4.042990654205607370e+01,4.200000000000000000e+01,4.140186915887850461e+01,4.811428571428571388e+01
4.461538461538461320e+01,4.762264150943396146e+01,4.868571428571428328e+01,4.151401869158878810e+01,4.285714285714285410e+01,4.209345794392523032e+01,4.931428571428571672e+01
4.623076923076923350e+01,4.813207547169811562e+01,4.973333333333333428e+01,4.254205607476635720e+01,4.388571428571428612e+01,4.328971962616822111e+01,5.039999999999999858e+01
4.698076923076923350e+01,4.850943396226415416e+01,5.108571428571428896e+01,4.371962616822430192e+01,4.502857142857143202e+01,4.444859813084111977e+01,5.152380952380952550e+01
4.842307692307691980e+01,4.869811320754716633e+01,5.200000000000000000e+01,4.444859813084111977e+01,4.588571428571428612e+01,4.504672897196261516e+01,5.255238095238095042e+01
4.919230769230769340e+01,4.900000000000000000e+01,5.325714285714285978e+01,4.549532710280373493e+01,4.683809523809523512e+01,4.642990654205607370e+01,5.379047619047619122e+01
5.063461538461538680e+01,4.937735849056603854e+01,5.439999999999999858e+01,4.657943925233644933e+01,4.798095238095238102e+01,4.732710280373832035e+01,5.491428571428571104e+01
5.180769230769230660e+01,4.954716981132075659e+01,5.539047619047619264e+01,4.734579439252336641e+01,4.918095238095238386e+01,4.831775700934579731e+01,5.609523809523809490e+01
5.307692307692308020e+01,4.979245283018867951e+01,5.660952380952380736e+01,4.846728971962616583e+01,5.039999999999999858e+01,4.951401869158878810e+01,5.723809523809524080e+01
5.469230769230769340e+01,5.039622641509433976e+01,5.782857142857142918e+01,4.932710280373832035e+01,5.165714285714285836e+01,5.026168224299065201e+01,5.813333333333333286e+01
5.592307692307691980e+01,5.039622641509433976e+01,5.914285714285714590e+01,5.084112149532710134e+01,5.259047619047618838e+01,5.162616822429906449e+01,5.939047619047619264e+01
5.732692307692308020e+01,5.047169811320754462e+01,6.013333333333333286e+01,5.160747663551401843e+01,5.350476190476190652e+01,5.269158878504672572e+01,6.041904761904761756e+01
5.821153846153845990e+01,5.041509433962264097e+01,6.091428571428571104e+01,5.233644859813084338e+01,5.500952380952381304e+01,5.401869158878504606e+01,6.146666666666666856e+01
5.938461538461538680e+01,5.045283018867924341e+01,6.196190476190476204e+01,5.353271028037383417e+01,5.598095238095238102e+01,5.469158878504672572e+01,6.279999999999999716e+01
6.028846153846154010e+01,5.052830188679245538e+01,6.358095238095238244e+01,5.416822429906542169e+01,5.710476190476190794e+01,5.596261682242990787e+01,6.379047619047619122e+01
6.163461538461538680e+01,5.052830188679245538e+01,6.455238095238095752e+01,5.502803738317756910e+01,5.775238095238095326e+01,5.710280373831776046e+01,6.487619047619047308e+01
6.301923076923076650e+01,5.073584905660377586e+01,6.590476190476189799e+01,5.644859813084111977e+01,5.906666666666666998e+01,5.828037383177569808e+01,6.569523809523809632e+01
6.450000000000000000e+01,5.073584905660377586e+01,6.685714285714286120e+01,5.682242990654205528e+01,5.996190476190476204e+01,5.960747663551401843e+01,6.687619047619047308e+01
6.521153846153846700e+01,5.079245283018867951e+01,6.807619047619047592e+01,5.800000000000000000e+01,6.114285714285714590e+01,6.022429906542055988e+01,6.780952380952381020e+01
6.632692307692308020e+01,5.081132075471698073e+01,6.879999999999999716e+01,5.867289719626167965e+01,6.211428571428571388e+01,6.121495327102803685e+01,6.900952380952381304e+01
6.769230769230769340e+01,5.081132075471698073e+01,6.963809523809523228e+01,5.927102803738317505e+01,6.321904761904762182e+01,6.228037383177569808e+01,6.980952380952381020e+01
6.888461538461538680e+01,5.084905660377358316e+01,7.070476190476190936e+01,6.029906542056074414e+01,6.394285714285714306e+01,6.342056074766355067e+01,7.043809523809524364e+01
6.980769230769230660e+01,5.084905660377358316e+01,7.154285714285714448e+01,6.132710280373832035e+01,6.470476190476190936e+01,6.400000000000000000e+01,7.104761904761905100e+01
7.061538461538461320e+01,5.084905660377358316e+01,7.213333333333333997e+01,6.211214953271028349e+01,6.529523809523809064e+01,6.527102803738317505e+01,7.180952380952381020e+01
7.188461538461538680e+01,5.096226415094339757e+01,7.318095238095237676e+01,6.323364485981308292e+01,6.630476190476190368e+01,6.596261682242990787e+01,7.224761904761905384e+01
7.294230769230769340e+01,5.096226415094339757e+01,7.377142857142857224e+01,6.375700934579439405e+01,6.739047619047619264e+01,6.680373831775700921e+01,7.285714285714286120e+01
7.428846153846153300e+01,5.098113207547169878e+01,7.495238095238094900e+01,6.450467289719625796e+01,6.788571428571428612e+01,6.805607476635513819e+01,7.365714285714285836e+01
7.551923076923077360e+01,5.092452830188679513e+01,7.529523809523809064e+01,6.487850467289719347e+01,6.876190476190475920e+01,6.841121495327102764e+01,7.420952380952381588e+01
7.644230769230769340e+01,5.092452830188679513e+01,7.580952380952381020e+01,6.596261682242990787e+01,6.973333333333333428e+01,6.970093457943924875e+01,7.479999999999999716e+01
7.751923076923077360e+01,5.092452830188679513e+01,7.649523809523809348e+01,6.626168224299065912e+01,7.038095238095237960e+01,7.028037383177570518e+01,7.533333333333332860e+01
7.850000000000000000e+01,5.092452830188679513e+01,7.744761904761904248e+01,6.743925233644860384e+01,7.100952380952381304e+01,7.095327102803737773e+01,7.565714285714285836e+01
7.940384615384616041e+01,5.092452830188679513e+01,7.780952380952381020e+01,6.805607476635513819e+01,7.169523809523809632e+01,7.181308411214953935e+01,7.634285714285714164e+01
8.050000000000000000e+01,5.092452830188679513e+01,7.809523809523810201e+01,6.839252336448598157e+01,7.259047619047619548e+01,7.229906542056075125e+01,7.653333333333333144e+01
8.094230769230769340e+01,5.092452830188679513e+01,7.866666666666667140e+01,6.900934579439253014e+01,7.276190476190475920e+01,7.317757009345794472e+01,7.697142857142857508e+01
