# 'water_0_30.h5', 'cement_0_30.h5', 'Asphalt_0_30.h5', 'Asphaltwet_0_30.h5', 'roadgravel_0_30.h5', 'grass_0_30.h5', 'Roughgravel_0_30.h5'
5.100000000000000000e+01,5.785046728971962438e+01,4.456603773584905781e+01,4.693577981651375808e+01,4.219047619047618980e+01,3.241121495327102764e+01,4.231067961165048530e+01
5.220754716981132049e+01,5.906542056074766123e+01,4.573584905660377586e+01,4.787155963302752326e+01,4.348571428571428754e+01,3.328971962616822111e+01,4.382524271844660291e+01
5.384905660377358316e+01,6.061682242990654146e+01,4.609433962264150608e+01,4.899082568807339300e+01,4.457142857142856940e+01,3.373831775700934799e+01,4.464077669902912504e+01
5.500000000000000000e+01,6.233644859813084338e+01,4.762264150943396146e+01,5.011009174311926273e+01,4.539047619047619264e+01,3.480373831775700921e+01,4.576699029126213247e+01
5.605660377358490365e+01,6.340186915887850461e+01,4.862264150943396146e+01,5.088073394495413027e+01,4.643809523809523654e+01,3.568224299065420269e+01,4.700970873786408077e+01
5.752830188679245538e+01,6.485981308411214741e+01,4.981132075471698073e+01,5.211009174311926273e+01,4.754285714285714448e+01,3.652336448598131113e+01,4.825242718446602197e+01
5.907547169811320487e+01,6.639252336448598157e+01,5.081132075471698073e+01,5.344954128440367214e+01,4.878095238095237818e+01,3.702803738317756910e+01,4.943689320388349273e+01
6.032075471698113489e+01,6.779439252336447908e+01,5.183018867924528195e+01,5.433027522935779530e+01,4.971428571428571530e+01,3.820560747663551382e+01,5.025242718446602197e+01
6.181132075471698073e+01,6.953271028037383417e+01,5.347169811320754462e+01,5.561467889908256979e+01,5.104761904761905100e+01,3.930841121495327428e+01,5.172815533980582359e+01
6.316981132075471805e+01,7.052336448598130403e+01,5.456603773584905781e+01,5.640366972477064422e+01,5.196190476190476204e+01,3.996261682242990787e+01,5.279611650485436769e+01
6.484905660377359027e+01,7.162616822429906449e+01,5.581132075471698073e+01,5.768807339449541161e+01,5.367619047619047734e+01,4.119626168224299079e+01,5.409708737864077932e+01
6.669811320754716633e+01,7.271028037383177889e+01,5.696226415094339757e+01,5.922935779816513957e+01,5.476190476190475920e+01,4.228037383177569808e+01,5.506796116504854410e+01
6.752830188679244827e+01,7.400000000000000000e+01,5.828301886792452535e+01,6.042201834862385113e+01,5.588571428571428612e+01,4.317757009345794472e+01,5.640776699029126462e+01
6.903773584905660243e+01,7.532710280373831324e+01,5.958490566037735903e+01,6.200000000000000000e+01,5.729523809523809774e+01,4.411214953271028349e+01,5.786407766990291179e+01
7.079245283018867951e+01,7.635514018691588944e+01,6.073584905660377586e+01,6.326605504587156048e+01,5.822857142857142776e+01,4.504672897196261516e+01,5.873786407766990436e+01
7.209433962264151319e+01,7.760747663551401843e+01,6.205660377358490365e+01,6.409174311926605583e+01,5.925714285714285978e+01,4.609345794392523032e+01,6.025242718446602197e+01
7.318867924528301216e+01,7.848598130841121190e+01,6.316981132075471805e+01,6.491743119266054407e+01,6.066666666666666430e+01,4.721495327102803685e+01,6.180582524271844846e+01
7.449056603773584584e+01,7.927102803738317505e+01,6.449056603773584584e+01,6.590825688073394417e+01,6.194285714285714306e+01,4.822429906542055988e+01,6.335922330097087496e+01
7.611320754716980730e+01,8.024299065420561305e+01,6.581132075471698784e+01,6.699082568807340010e+01,6.304761904761905100e+01,4.947663551401868887e+01,6.436893203883495573e+01
7.713207547169811562e+01,8.102803738317757620e+01,6.679245283018867951e+01,6.800000000000000000e+01,6.428571428571429180e+01,5.011214953271028349e+01,6.592233009708738223e+01
7.845283018867924341e+01,8.179439252336447908e+01,6.769811320754716633e+01,6.899082568807340010e+01,6.573333333333333428e+01,5.112149532710280653e+01,6.712621359223301454e+01
7.941509433962264097e+01,8.267289719626168676e+01,6.913207547169811562e+01,6.988990825688073016e+01,6.683809523809523512e+01,5.201869158878504606e+01,6.836893203883495573e+01
8.024528301886792292e+01,8.327102803738317505e+01,7.069811320754716633e+01,7.080733944954128845e+01,6.800000000000000000e+01,5.325233644859812898e+01,6.976699029126213247e+01
8.135849056603773022e+01,8.353271028037383417e+01,7.160377358490566735e+01,7.168807339449541871e+01,6.885714285714286120e+01,5.441121495327102764e+01,7.110679611650485299e+01
8.241509433962264097e+01,8.426168224299065912e+01,7.271698113207547465e+01,7.247706422018349315e+01,7.019047619047618980e+01,5.570093457943925586e+01,7.254368932038835283e+01
8.332075471698112779e+01,8.525233644859812898e+01,7.322641509433962881e+01,7.372477064220183252e+01,7.112380952380952692e+01,5.671028037383177889e+01,7.405825242718447043e+01
8.415094339622640973e+01,8.570093457943924875e+01,7.466037735849056389e+01,7.403669724770642802e+01,7.209523809523810201e+01,5.781308411214953225e+01,7.528155339805825008e+01
8.477358490566037119e+01,8.586915887850467755e+01,7.584905660377359027e+01,7.456880733944953477e+01,7.323809523809524080e+01,5.874766355140187102e+01,7.613592233009708821e+01
8.584905660377359027e+01,8.629906542056075125e+01,7.669811320754716633e+01,7.500917431192659990e+01,7.413333333333333997e+01,5.960747663551401843e+01,7.732038834951455897e+01
8.679245283018867951e+01,8.652336448598130403e+01,7.752830188679244827e+01,7.596330275229357198e+01,7.521904761904761472e+01,6.069158878504672572e+01,7.823300970873786753e+01
8.722641509433962881e+01,8.697196261682242380e+01,7.824528301886792292e+01,7.642201834862385113e+01,7.651428571428571956e+01,6.153271028037383417e+01,7.930097087378641163e+01
8.752830188679244827e+01,8.704672897196262227e+01,7.901886792452830832e+01,7.710091743119265573e+01,7.727619047619047876e+01,6.276635514018691708e+01,8.021359223300970598e+01
8.803773584905660243e+01,8.732710280373831324e+01,7.990566037735848681e+01,7.724770642201835358e+01,7.803809523809523796e+01,6.355140186915888023e+01,8.110679611650485299e+01
8.841509433962264097e+01,8.747663551401869597e+01,8.079245283018867951e+01,7.761467889908256268e+01,7.897142857142857508e+01,6.429906542056075125e+01,8.200000000000000000e+01
8.830188679245283367e+01,8.751401869158878810e+01,8.126415094339623124e+01,7.825688073394495348e+01,7.940952380952380452e+01,6.500934579439253014e+01,8.264077669902913215e+01
8.871698113207547465e+01,8.785046728971963148e+01,8.200000000000000000e+01,7.851376146788990695e+01,8.005714285714286405e+01,6.598130841121495394e+01,8.343689320388349984e+01
8.909433962264151319e+01,8.790654205607476968e+01,8.249056603773584584e+01,7.884403669724770225e+01,8.118095238095237676e+01,6.665420560747664069e+01,8.450485436893204394e+01
8.920754716981132049e+01,8.794392523364486181e+01,8.273584905660376876e+01,7.915596330275229775e+01,8.180952380952381020e+01,6.725233644859812898e+01,8.506796116504854410e+01
8.924528301886792292e+01,8.792523364485981574e+01,8.318867924528301216e+01,7.922935779816513957e+01,8.217142857142857792e+01,6.833644859813084338e+01,8.638834951456310307e+01
8.928301886792452535e+01,8.792523364485981574e+01,8.364150943396226978e+01,7.933944954128440941e+01,8.272380952380952124e+01,6.878504672897196315e+01,8.689320388349514701e+01
8.941509433962264097e+01,8.801869158878504606e+01,8.416981132075471805e+01,7.937614678899082321e+01,8.339047619047619264e+01,6.958878504672897236e+01,8.733980582524272052e+01
8.952830188679244827e+01,8.792523364485981574e+01,8.466037735849056389e+01,7.946788990825687904e+01,8.405714285714286405e+01,7.033644859813084338e+01,8.829126213592232375e+01
8.960377358490566735e+01,8.792523364485981574e+01,8.483018867924528195e+01,7.946788990825687904e+01,8.438095238095237960e+01,7.074766355140187102e+01,8.862135922330097060e+01
8.971698113207547465e+01,8.818691588785046065e+01,8.505660377358491075e+01,7.959633027522936288e+01,8.470476190476190936e+01,7.170093457943924875e+01,8.895145631067961745e+01
8.971698113207547465e+01,8.837383177570093551e+01,8.511320754716980730e+01,7.965137614678899070e+01,8.478095238095238528e+01,7.198130841121495394e+01,8.963106796116504427e+01
8.971698113207547465e+01,8.835514018691588944e+01,8.573584905660376876e+01,7.952293577981650685e+01,8.512380952380952692e+01,7.289719626168223954e+01,8.972815533980582359e+01
8.971698113207547465e+01,8.839252336448598157e+01,8.601886792452830832e+01,7.955963302752293487e+01,8.537142857142856656e+01,7.338317757009345144e+01,9.015533980582524975e+01
8.975471698113207708e+01,8.839252336448598157e+01,8.622641509433962881e+01,7.955963302752293487e+01,8.550476190476190652e+01,7.381308411214953935e+01,9.066019417475727948e+01
8.973584905660376876e+01,8.839252336448598157e+01,8.632075471698112779e+01,7.955963302752293487e+01,8.573333333333333428e+01,7.476635514018691708e+01,9.118446601941747076e+01
8.973584905660376876e+01,8.824299065420561305e+01,8.650943396226415416e+01,7.974311926605504652e+01,8.582857142857142208e+01,7.504672897196262227e+01,9.168932038834951470e+01
8.975471698113207708e+01,8.824299065420561305e+01,8.664150943396226978e+01,7.974311926605504652e+01,8.630476190476190368e+01,7.579439252336447908e+01,9.200000000000000000e+01
8.975471698113207708e+01,8.828037383177570518e+01,8.688679245283019270e+01,7.974311926605504652e+01,8.649523809523809348e+01,7.637383177570093551e+01,9.205825242718447043e+01
8.975471698113207708e+01,8.828037383177570518e+01,8.705660377358491075e+01,7.974311926605504652e+01,8.697142857142857508e+01,7.687850467289719347e+01,9.248543689320388239e+01
8.975471698113207708e+01,8.828037383177570518e+01,8.715094339622640973e+01,7.976146788990826053e+01,8.702857142857142492e+01,7.719626168224299079e+01,9.260194174757280905e+01
8.984905660377359027e+01,8.828037383177570518e+01,8.716981132075471805e+01,7.976146788990826053e+01,8.716190476190476488e+01,7.805607476635513819e+01,9.297087378640776478e+01
